Theta_rot,z6,z5,z4,z3,z2,z1,z0
0,-1489.62736,-1489.628206,-1489.62867,-1489.619686,-1489.591155,-1489.574074,-1489.568903
2,-1489.627356,-1489.628202,-1489.628376,-1489.619563,-1489.591012,-1489.572167,-1489.568927
4,-1489.627349,-1489.628573,-1489.628659,-1489.619533,-1489.590737,-1489.574664,-1489.568633
6,-1489.627337,-1489.628173,-1489.628641,-1489.619485,-1489.59033,-1489.572614,-1489.568014
8,-1489.627319,-1489.628531,-1489.628613,-1489.617041,-1489.588258,-1489.571433,-1489.567059
10,-1489.627297,-1489.628115,-1489.628577,-1489.619419,-1489.589123,-1489.569993,-1489.564643
15,-1489.62722,-1489.628391,-1489.62845,-1489.619009,-1489.586664,-1489.564744,-1489.559143
20,-1489.627547,-1489.628243,-1489.62829,-1489.618637,-1489.583769,-1489.556526,-1489.553254
25,-1489.626983,-1489.628059,-1489.628103,-1489.618153,-1489.577959,-1489.548866,-1489.541266
30,-1489.62727,-1489.627847,-1489.627894,-1489.617741,-1489.573559,-1489.534606,-1489.526308
35,-1489.627106,-1489.627613,-1489.627356,-1489.617411,-1489.569685,-1489.518914,-1489.50569
40,-1489.626926,-1489.624524,-1489.627113,-1489.617426,-1489.560362,-1489.499944,-1489.481908
45,-1489.62674,-1489.626675,-1489.62719,-1489.617697,-1489.558498,-1489.479095,-1489.448498
50,-1489.626557,-1489.626402,-1489.626596,-1489.618298,-1489.551902,-1489.453315,-1489.407701
60,-1489.625747,-1489.626326,-1489.626423,-1489.62013,-1489.549889,-1489.398149,-1489.318079
70,-1489.625928,-1489.625912,-1489.625569,-1489.621943,-1489.555244,-1489.341249,-1489.225268
80,-1489.625748,-1489.625648,-1489.625224,-1489.62075,-1489.563077,-1489.284795,-1489.158469
90,-1489.622851,-1489.625554,-1489.625082,-1489.623373,-1489.567808,-1489.261318,-1489.133878
